Item_No,Revision,Name,Item Type,Item Status,Item Group,Item Source,Product Type,Old Item ID,Weight,Recipe Effective Date,Grade,Description,Building Code,Standard Job Quantity,Minimum Job Quantity,Standard Order Quantity,Note,Engineer,Engineer2,Engineer3,Planner,Program Manager,Control Level,Recipe Expiration Date,Minimum Inventory Quantity,Lead Time,Scrap,Daily Pull,Area,Workcenter,Temper,Customer Supplied Material,Serialize,Job Consolidation Window,Maximum Inventory Quantity,Additional Documents,Other Note,MRBBreakpoint,Internal Note,Transfer Die No,Label Note,Side,Use DCP,Internal Approval Note,Unit,Drawing No,Lead Time Days,Minimum Order Quantity,Default Stock Location,Suppress Transmit EDI,Theoretical Weight,Freight Cost,Customs Value,Max Splits Prime Control Panel,Max Splits Prime Lift Entry,Max Splits Reject Control Panel,Max Splits Reject Lift Entry,Barcode Extension,Freight Cost Currency Code,Customs Value Currency Code,Customer Shipping Code,Suppress Receipt Transmission,Raw Material PONo,Batch Scrap Pieces,Job Creation Threshold,Quoted Job Quantity,Department Code,Batch Scrap Percent,Commodity Code,Cycle Frequency,Harmonized Tariff Code,Item Drawing Revision,Item Drawing Number,Allow Weighing,Allow Split Containers,Maximum Splits,Offal,Increased Inspection,Controlled Shipping1,Controlled Shipping2,Finished Item Buffer,Level Scheduled,Planning Group,Customer Code,Inventory Classification Code,Industry,Item Product Group,Ecommerce,Account No,Item Tax Code,Country of Origin,Quoted Lead Time,APQPChecklist No,Average Value,Customer Approval End Date,Customer Approval Note,Customer Approval Quantity,Customer Approval Start Date,Customer Approval Status,Dock Alert,Exclusive Use Rights Customer Code,Freight Classification Code,Freight Weight Class,Hold On Receipt,Internal Approval Quantity,Internal Approval Start Date,Internal Approval End Date,Internal Approval Status,Like Item No,Like Part Revision,LTANumber,Packing Group,Item Priority,Part Label Format,RPDisplay,Special Symbol,Supplier Part Level,Submission Date,Surcharge,Team,Tracking No Required,Transfer Company,UPCCode,Quality Advanced Planning Version,Container Type,Container Default,Container Active,Container Sort Order,Container UPCCode,Container Note,Container Standard Quantity,Container Variable Standard Quantity,BOMAllocation Variance,Reapplication Prevent,Release Auto Create,Source Load Split,Final Electrical Test,Deviation,Lot Required,Lot Replenishable,Lot Format Description,MRPDemand Level,Process Days,Direct Sales,Standard Pack Computed,Level Manually,Planning Placeholder,Excess Inventory,Excess Inventory Level,Release Over Receipt Threshold,BOM Substitution Allowed,Include In Job Set,Allergens
09 Pie Crust Bottom,,09 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
09 Pie Crust Top,,09 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
09 Sugar,,09 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
10 Almond Extract,,10 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
10 Cherries-Pitted,,10 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
10 Cherry Pie,,10 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
10 Cherry Pie Filling,,10 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
10 Cornstarch,,10 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
10 Lemon Juice,,10 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
10 Pie Crust Bottom,,10 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
10 Pie Crust Top,,10 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
10 Sugar,,10 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
11 Almond Extract,,11 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
11 Cherries-Pitted,,11 Cherries-Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
11 Cherry Pie,,11 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
11 Cherry Pie Filling,,11 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
11 Cornstarch,,11 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
11 Lemon Juice,,11 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
11 Pie Crust Bottom,,11 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
11 Pie Crust Top,,11 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
11 Sugar,,11 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
12 Almond Extract,,12 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
12 Cherries-Pitted,,12 Cherries -Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
12 Cherry Pie,,12 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
12 Cherry Pie Filling,,12 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
12 Cornstarch,,12 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
12 Lemon Juice,,12 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
12 Pie Crust Bottom,,12 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
12 Pie Crust Top,,12 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
12 Sugar,,12 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
13 Almond Extract,,13 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
13 Cherries-Pitted,,13 Cherries -Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
13 Cherry Pie,,13 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
13 Cherry Pie Filling,,13 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
13 Cornstarch,,13 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
13 Lemon Juice,,13 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
13 Pie Crust Bottom,,13 Pie Crust Bottom,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
13 Pie Crust Top,,13 Pie Crust Top,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
13 Sugar,,13 Sugar,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
14 Almond Extract,,14 Almond Extract,Ingredients,Active,,Purchased,,,0,,,,,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,0,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,0,,,,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,,,,
14 Cherries-Pitted,,14 Cherries -Pitted,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
14 Cherry Pie,,14 Cherry Pie,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
14 Cherry Pie Filling,,14 Cherry Pie Filling,Baked Goods,Active,,Manufactured,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Date & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
14 Cornstarch,,14 Cornstarch,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
14 Lemon Juice,,14 Lemon Juice,Ingredients,Active,,Purchased,,,0,,,,Main,0,0,0,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,,,,,0,,,,0,0,,0,0,0,0,9999,9999,9999,9999,,   ,   ,,0,,0,,0,,0,,,,,,1,1,0,0,0,0,0,0,0,,,,,,0,,,,0,0,0,,,0,,,0,,,,0,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,FALSE,,0,TRUE,FALSE,Supplier Lot & Sequence,FALSE,0,FALSE,0,FALSE,FALSE,0,FALSE,0,TRUE,,
